,date,PERMNO,SHRCD,EXCHCD,TICKER,PRC,VOL,RET,SHROUT
4200000,2019-10,15279,18.0,3.0,,6.92,411853.0,-0.108822,192138.0
4200001,2019-10,15282,11.0,3.0,,1.14,172268.0,0.075472,80514.0
4200002,2019-10,15284,11.0,3.0,,68.84,101423.0,-0.063019,49202.0
4200003,2019-10,15285,11.0,3.0,,10.6,41241.0,-0.086207,17834.0
4200004,2019-10,15286,11.0,3.0,,2.19,26393.0,0.097744,33040.0
4200005,2019-10,15287,11.0,3.0,,5.17,99760.0,0.061602,64673.0
4200006,2019-10,15291,11.0,3.0,,44.49,792798.0,-0.212566,118489.0
4200007,2019-10,15293,11.0,3.0,,5.92,4401.0,0.027778,120763.0
4200008,2019-10,15294,11.0,3.0,,0.551,34417.0,-0.19971,32387.0
4200009,2019-10,15295,12.0,3.0,,33.99,39736.0,0.104289,35178.0
4200010,2019-10,15297,11.0,3.0,,0.452,5080.0,-0.098164,9520.0
4200011,2019-10,15299,73.0,3.0,,23.7691,271.0,0.023471,900.0
4200012,2019-10,15302,11.0,3.0,,16.96,213318.0,0.036675,117716.0
4200013,2019-10,15303,11.0,3.0,,6.47,223093.0,-0.059592999999999986,72264.0
4200014,2019-10,15304,31.0,3.0,,1.1104,39625.0,0.16884200000000002,3448.0
4200015,2019-10,15305,11.0,3.0,,10.87,28220.0,0.039197,41066.0
4200016,2019-10,15306,73.0,4.0,,33.17,25760.0,0.02789,9700.0
4200017,2019-10,15311,73.0,4.0,,21.45,40892.0,0.058998,5950.0
4200018,2019-10,15312,73.0,4.0,,31.0,3120.0,0.056218,1650.0
4200019,2019-10,15313,71.0,1.0,,33.52,6961.0,0.049139,33457.0
4200020,2019-10,15314,73.0,4.0,,6.55,18492.0,0.05475,6350.0
4200021,2019-10,15315,11.0,1.0,,65.03,379725.0,-0.014398,176970.0
4200022,2019-10,15316,73.0,4.0,,29.5987,2671.0,0.035644,2900.0
4200023,2019-10,15318,11.0,1.0,,20.11,240137.0,-0.006914,159342.0
4200024,2019-10,15319,73.0,4.0,,26.25,39481.0,0.029412,40000.0
4200025,2019-10,15320,73.0,4.0,,32.8,25129.0,0.027569,27700.0
4200026,2019-10,15321,73.0,4.0,,40.95,14515.0,0.026573000000000003,6750.0
4200027,2019-10,15322,73.0,4.0,,29.6792,3020.0,0.023534,3850.0
4200028,2019-10,15323,48.0,1.0,,34.17,88034.0,0.023974,59328.0
4200029,2019-10,15327,11.0,1.0,,5.62,326061.0,-0.015762,94437.0
4200030,2019-10,15328,73.0,4.0,,39.3977,4240.0,0.000924,4150.0
4200031,2019-10,15329,73.0,4.0,,90.23,13980.0,0.016562,6010.0
4200032,2019-10,15331,12.0,1.0,,13.24,488926.0,-0.068262,204435.0
4200033,2019-10,15332,11.0,1.0,,18.13,164465.0,-0.006575,73326.0
4200034,2019-10,15336,12.0,3.0,,87.31,11695.0,-0.148776,39110.0
4200035,2019-10,15337,44.0,1.0,,22.91,8294.0,0.013483000000000002,10323.0
4200036,2019-10,15338,18.0,1.0,,16.48,246786.0,-0.0,223869.0
4200037,2019-10,15340,71.0,1.0,,13.07,52844.0,-0.082163,205962.0
4200038,2019-10,15343,18.0,1.0,,48.42,18198.0,0.086869,19407.0
4200039,2019-10,15344,11.0,2.0,,,280314.0,,208685.0
4200040,2019-10,15345,73.0,4.0,,88.75,87877.0,0.130573,456.0
4200041,2019-10,15346,73.0,4.0,,2.7,3377133.0,-0.186747,68659.0
4200042,2019-10,15347,73.0,4.0,,20.4,425507.0,-0.194313,3635.0
4200043,2019-10,15348,73.0,4.0,,37.2,592874.0,0.203884,13062.0
4200044,2019-10,15351,11.0,1.0,,15.85,27372.0,0.046205,84051.0
4200045,2019-10,15352,73.0,4.0,,33.7599,684.0,0.001819,2950.0
4200046,2019-10,15353,73.0,4.0,,24.85,201.0,0.03412,200.0
4200047,2019-10,15354,73.0,4.0,,24.1849,63.0,0.020856,100.0
4200048,2019-10,15355,73.0,4.0,,28.15,56.0,0.027151,100.0
4200049,2019-10,15358,12.0,1.0,,313.57001,552538.0,0.006128,103660.0
4200050,2019-10,15359,11.0,1.0,,18.66,430277.0,-0.046177,179197.0
4200051,2019-10,15361,31.0,3.0,,0.8799,84537.0,-0.417285,83044.0
4200052,2019-10,15364,31.0,3.0,,-5.375,730.0,-0.089754,10052.0
4200053,2019-10,15365,31.0,3.0,,43.52,226237.0,0.019204,47556.0
4200054,2019-10,15371,11.0,3.0,,12.0,84378.0,0.045296,33527.0
4200055,2019-10,15373,31.0,3.0,,183.97,33463.0,0.205096,8123.0
4200056,2019-10,15374,11.0,3.0,,0.9512,63009.0,0.4314520000000001,58031.0
4200057,2019-10,15375,11.0,3.0,,0.74,151484.0,-0.4351140000000001,12734.0
4200058,2019-10,15378,11.0,3.0,,3.61,5493.0,0.031429,3890.0
4200059,2019-10,15379,31.0,3.0,,-1.85,574.0,0.075581,1799.0
4200060,2019-10,15380,11.0,3.0,,2.16,140976.0,0.096447,10680.0
4200061,2019-10,15381,11.0,3.0,,1.32,168934.0,-0.813559,882.0
4200062,2019-10,15382,11.0,3.0,,4.78,119963.0,0.021368,8646.0
4200063,2019-10,15383,11.0,3.0,,2.82,6130.0,0.007143000000000002,28577.0
4200064,2019-10,15389,73.0,3.0,,14.15,3861.0,0.025177,1850.0
4200065,2019-10,15390,11.0,1.0,,6.18,2878923.0,0.622047,227078.0
4200066,2019-10,15391,11.0,1.0,,10.85,325208.0,0.02514,114675.0
4200067,2019-10,15394,11.0,3.0,,8.61,2143.0,0.020142,43001.0
4200068,2019-10,15395,11.0,1.0,,1325.37,5166.0,0.056324,5706.0
4200069,2019-10,15396,11.0,1.0,,4.59,30757.0,-0.041754,46275.0
4200070,2019-10,15397,11.0,1.0,,103.93,63187.0,0.077777,33948.0
4200071,2019-10,15398,11.0,1.0,,16.41,503591.0,0.098394,163482.0
4200072,2019-10,15399,11.0,1.0,,3.84,16197.0,0.005236,25321.0
4200073,2019-10,15400,11.0,1.0,,42.49,164666.0,-0.025011,68902.0
4200074,2019-10,15407,11.0,3.0,,13.84,14234.0,0.133497,19067.0
4200075,2019-10,15408,11.0,3.0,,32.33,1575826.0,0.15733,1221161.0
4200076,2019-10,15409,11.0,3.0,,49.4,59699.0,0.059177,48572.0
